aiMessage,shouldGoLeft,aiIsLying,weatherIntensity
SAFE,false,false,0.5
DANGER,true,true,0.5
SAFE,true,false,0.5
SAFE,false,false,0.5
SAFE,true,false,0.5
SAFE,false,false,0.5
DANGER,false,true,0.5
SAFE,true,false,0.5
SAFE,false,false,0.5
DANGER,true,true,0.5
SAFE,false,false,0.5
SAFE,true,false,0.5
SAFE,true,false,1.0
SAFE,false,false,1.0
DANGER,false,true,1.0
SAFE,true,false,1.0
SAFE,false,false,1.0
SAFE,true,false,1.0
DANGER,true,true,1.0
SAFE,false,false,1.0
SAFE,true,false,1.0
DANGER,false,true,1.0
SAFE,true,false,1.0
SAFE,false,false,1.0
SAFE,true,false,0.0
SAFE,false,false,0.0
DANGER,true,true,0.0
SAFE,true,false,0.0
SAFE,false,false,0.0
SAFE,true,false,0.0
DANGER,false,true,0.0
SAFE,false,false,0.0
SAFE,true,false,0.0
DANGER,true,true,0.0
SAFE,false,false,0.0
SAFE,true,false,0.0
